USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.1 225732  8892 ?        Ss   8月22   0:20 /sbin/init splash
root         39  0.0  0.0      0     0 ?        S    8月22   0:00 [cpuhp/5]
root         40  0.0  0.0      0     0 ?        S    8月22   0:00 [idle_inject/5]
root         41  0.0  0.0      0     0 ?        S    8月22   0:01 [migration/5]
root         42  0.0  0.0      0     0 ?        S    8月22   0:00 [ksoftirqd/5]
root         44  0.0  0.0      0     0 ?        I<   8月22   0:00 [kworker/5:0H-kb]
root         45  0.0  0.0      0     0 ?        S    8月22   0:00 [cpuhp/6]
root         46  0.0  0.0      0     0 ?        S    8月22   0:00 [idle_inject/6]
root         47  0.0  0.0      0     0 ?        S    8月22   0:01 [migration/6]
root         48  0.0  0.0      0     0 ?        S    8月22   0:00 [ksoftirqd/6]
root         50  0.0  0.0      0     0 ?        I<   8月22   0:00 [kworker/6:0H-kb]
root         51  0.0  0.0      0     0 ?        S    8月22   0:00 [cpuhp/7]
root         52  0.0  0.0      0     0 ?        S    8月22   0:00 [idle_inject/7]
root         53  0.0  0.0      0     0 ?        S    8月22   0:01 [migration/7]
root         54  0.0  0.0      0     0 ?        S    8月22   0:00 [ksoftirqd/7]
root         56  0.0  0.0      0     0 ?        I<   8月22   0:00 [kworker/7:0H-kb]
root         57  0.0  0.0      0     0 ?        S    8月22   0:00 [cpuhp/8]
root         58  0.0  0.0      0     0 ?        S    8月22   0:00 [idle_inject/8]
root         59  0.0  0.0      0     0 ?        S    8月22   0:01 [migration/8]
root         60  0.0  0.0      0     0 ?        S    8月22   0:00 [ksoftirqd/8]
root         62  0.0  0.0      0     0 ?        I<   8月22   0:00 [kworker/8:0H]
root         63  0.0  0.0      0     0 ?        S    8月22   0:00 [cpuhp/9]
root         64  0.0  0.0      0     0 ?        S    8月22   0:00 [idle_inject/9]
root         65  0.0  0.0      0     0 ?        S    8月22   0:01 [migration/9]
root         66  0.0  0.0      0     0 ?        S    8月22   0:00 [ksoftirqd/9]
root         68  0.0  0.0      0     0 ?        I<   8月22   0:00 [kworker/9:0H-kb]
root         69  0.0  0.0      0     0 ?        S    8月22   0:00 [cpuhp/10]
root         70  0.0  0.0      0     0 ?        S    8月22   0:00 [idle_inject/10]
root         71  0.0  0.0      0     0 ?        S    8月22   0:01 [migration/10]
root         72  0.0  0.0      0     0 ?        S    8月22   0:00 [ksoftirqd/10]
root         74  0.0  0.0      0     0 ?        I<   8月22   0:00 [kworker/10:0H-k]
root         75  0.0  0.0      0     0 ?        S    8月22   0:00 [cpuhp/11]
root         76  0.0  0.0      0     0 ?        S    8月22   0:00 [idle_inject/11]
root         77  0.0  0.0      0     0 ?        S    8月22   0:01 [migration/11]
root         78  0.0  0.0      0     0 ?        S    8月22   0:00 [ksoftirqd/11]
root         80  0.0  0.0      0     0 ?        I<   8月22   0:00 [kworker/11:0H-k]
root         81  0.0  0.0      0     0 ?        S    8月22   0:00 [kdevtmpfs]
root         82  0.0  0.0      0     0 ?        I<   8月22   0:00 [netns]
root         83  0.0  0.0      0     0 ?        S    8月22   0:00 [rcu_tasks_kthre]
root         84  0.0  0.0      0     0 ?        S    8月22   0:00 [kauditd]
root         88  0.0  0.0      0     0 ?        S    8月22   0:00 [khungtaskd]
